GENESIS-Tabelle: 12111-12-01-4
Bevölkerung nach Geschlecht, Erwerbsstatus;;;;;;;;;;;;;
und Altersgruppen - Stichtag 09.05.2011 -;;;;;;;;;;;;;
regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;;
Zensus 2011;;;;;;;;;;;;;
09.05.2011;;;;;;;;;;;;;
;;;Bevölkerung nach Erwerbsstatus;Erwerbspersonen;Erwerbstätige;Erwerbstätige;Erwerbstätige;Erwerbslose;Erwerbslose;Erwerbslose;Nichterwerbspersonen;Nichterwerbspersonen;Nichterwerbspersonen
;;;;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
12052;      Cottbus, kreisfreie Stadt;30 bis unter 35 Jahre;6110;5410;4910;2650;2260;/;/;/;700;/;/
12052;      Cottbus, kreisfreie Stadt;35 bis unter 40 Jahre;4490;4350;3950;2050;1900;/;/;/;/;/;/
12052;      Cottbus, kreisfreie Stadt;40 bis unter 45 Jahre;6770;6140;5890;3000;2900;/;/;/;/;/;/
12052;      Cottbus, kreisfreie Stadt;45 bis unter 50 Jahre;8090;7510;7130;3720;3410;/;/;/;/;/;/
12052;      Cottbus, kreisfreie Stadt;50 bis unter 55 Jahre;7980;7240;6710;3220;3480;530;/;/;740;/;/
12052;      Cottbus, kreisfreie Stadt;55 bis unter 60 Jahre;7990;6670;6070;2810;3250;610;/;/;1310;560;760
12052;      Cottbus, kreisfreie Stadt;60 bis unter 65 Jahre;5650;2700;2540;1390;1150;/;/;/;2950;1420;1530
12052;      Cottbus, kreisfreie Stadt;65 bis unter 70 Jahre;6010;720;710;/;/;/;/;/;5280;2500;2780
12052;      Cottbus, kreisfreie Stadt;70 bis unter 75 Jahre;6420;/;/;/;/;/;/;/;6170;2950;3220
12052;      Cottbus, kreisfreie Stadt;75 bis unter 80 Jahre;4180;/;/;/;/;/;/;/;3950;1760;2190
