GENESIS-Tabelle: 12111-12-01-4
Bevölkerung nach Geschlecht, Erwerbsstatus;;;;;;;;;;;;;
und Altersgruppen - Stichtag 09.05.2011 -;;;;;;;;;;;;;
regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;;
Zensus 2011;;;;;;;;;;;;;
09.05.2011;;;;;;;;;;;;;
;;;Bevölkerung nach Erwerbsstatus;Erwerbspersonen;Erwerbstätige;Erwerbstätige;Erwerbstätige;Erwerbslose;Erwerbslose;Erwerbslose;Nichterwerbspersonen;Nichterwerbspersonen;Nichterwerbspersonen
;;;;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
12063;      Havelland, Landkreis;90 Jahre und mehr;530;/;/;/;/;/;/;/;510;/;410
12063;      Havelland, Landkreis;Insgesamt;151770;83700;79300;41010;38290;4400;2500;1900;68070;31130;36940
12064;      Märkisch-Oderland, Landkreis;unter 5 Jahre;7550;x;x;x;x;x;x;x;7550;3970;3590
12064;      Märkisch-Oderland, Landkreis;5 bis unter 10 Jahre;7260;x;x;x;x;x;x;x;7260;3520;3750
12064;      Märkisch-Oderland, Landkreis;10 bis unter 15 Jahre;6700;x;x;x;x;x;x;x;6700;3260;3440
12064;      Märkisch-Oderland, Landkreis;15 bis unter 20 Jahre;6020;1860;1670;930;740;/;/;/;4160;2080;2080
12064;      Märkisch-Oderland, Landkreis;20 bis unter 25 Jahre;10050;8020;7400;4110;3290;620;380;/;2030;1010;1020
12064;      Märkisch-Oderland, Landkreis;25 bis unter 30 Jahre;9420;8300;7580;4040;3530;720;470;/;1120;520;600
12064;      Märkisch-Oderland, Landkreis;30 bis unter 35 Jahre;10520;9700;8900;4480;4410;810;440;370;810;320;490
12064;      Märkisch-Oderland, Landkreis;35 bis unter 40 Jahre;9620;9160;8630;4560;4060;540;/;/;460;/;340
12064;      Märkisch-Oderland, Landkreis;40 bis unter 45 Jahre;14120;13200;12420;6180;6240;780;350;420;930;350;580
12064;      Märkisch-Oderland, Landkreis;45 bis unter 50 Jahre;19720;17890;17060;8610;8450;830;540;290;1820;910;920
12064;      Märkisch-Oderland, Landkreis;50 bis unter 55 Jahre;18210;16140;14980;7940;7040;1160;730;430;2070;950;1120
12064;      Märkisch-Oderland, Landkreis;55 bis unter 60 Jahre;15540;12980;11840;5870;5970;1140;670;470;2560;1240;1320
12064;      Märkisch-Oderland, Landkreis;60 bis unter 65 Jahre;10890;5640;5230;2910;2320;410;/;/;5260;2280;2980
12064;      Märkisch-Oderland, Landkreis;65 bis unter 70 Jahre;10380;1120;1110;750;360;/;/;/;9260;4540;4720
12064;      Märkisch-Oderland, Landkreis;70 bis unter 75 Jahre;12260;850;830;530;300;/;/;/;11400;4980;6420
12064;      Märkisch-Oderland, Landkreis;75 bis unter 80 Jahre;9160;340;340;/;/;/;/;/;8820;3920;4910
12064;      Märkisch-Oderland, Landkreis;80 bis unter 85 Jahre;5450;/;/;/;/;/;/;/;5390;1910;3470
12064;      Märkisch-Oderland, Landkreis;85 bis unter 90 Jahre;2380;/;/;/;/;/;/;/;2360;750;1610
12064;      Märkisch-Oderland, Landkreis;90 Jahre und mehr;1030;/;/;/;/;/;/;/;1030;/;810
12064;      Märkisch-Oderland, Landkreis;Insgesamt;186290;105300;98070;51130;46940;7230;4220;3010;80990;36830;44160
12065;      Oberhavel, Landkreis;unter 5 Jahre;7890;x;x;x;x;x;x;x;7890;3890;4000
12065;      Oberhavel, Landkreis;5 bis unter 10 Jahre;8990;x;x;x;x;x;x;x;8990;4990;4000
12065;      Oberhavel, Landkreis;10 bis unter 15 Jahre;8730;x;x;x;x;x;x;x;8730;4550;4180
12065;      Oberhavel, Landkreis;15 bis unter 20 Jahre;7490;2300;2070;1180;890;/;/;/;5180;2570;2610
12065;      Oberhavel, Landkreis;20 bis unter 25 Jahre;10290;8390;7750;4060;3690;650;300;350;1890;840;1050
12065;      Oberhavel, Landkreis;25 bis unter 30 Jahre;10050;8930;8180;4250;3940;750;410;340;1120;430;700
12065;      Oberhavel, Landkreis;30 bis unter 35 Jahre;11170;10330;9800;5080;4720;540;230;310;840;280;560
12065;      Oberhavel, Landkreis;35 bis unter 40 Jahre;10830;9990;9670;4740;4930;320;/;/;840;/;590
12065;      Oberhavel, Landkreis;40 bis unter 45 Jahre;16850;15760;15230;7700;7530;530;/;320;1090;440;650
12065;      Oberhavel, Landkreis;45 bis unter 50 Jahre;20940;19240;18410;9440;8980;830;440;390;1700;800;900
12065;      Oberhavel, Landkreis;50 bis unter 55 Jahre;17480;15450;14720;7590;7130;730;480;250;2020;950;1080
12065;      Oberhavel, Landkreis;55 bis unter 60 Jahre;15610;12700;11860;6140;5720;840;400;440;2910;1230;1680
12065;      Oberhavel, Landkreis;60 bis unter 65 Jahre;10980;5810;5430;3110;2320;380;/;/;5180;2320;2860
12065;      Oberhavel, Landkreis;65 bis unter 70 Jahre;11790;1580;1570;1050;520;/;/;/;10220;4680;5540
12065;      Oberhavel, Landkreis;70 bis unter 75 Jahre;13980;980;940;510;440;/;/;/;13000;5640;7360
12065;      Oberhavel, Landkreis;75 bis unter 80 Jahre;8660;390;390;/;/;/;/;/;8270;3640;4630
12065;      Oberhavel, Landkreis;80 bis unter 85 Jahre;5220;/;/;/;/;/;/;/;5120;1950;3170
12065;      Oberhavel, Landkreis;85 bis unter 90 Jahre;2220;/;/;/;/;/;/;/;2140;650;1500
12065;      Oberhavel, Landkreis;90 Jahre und mehr;810;/;/;/;/;/;/;/;810;/;700
12065;      Oberhavel, Landkreis;Insgesamt;199980;112040;106200;55100;51100;5840;3050;2790;87940;40190;47750
12066;      Oberspreewald-Lausitz, Landkreis;unter 5 Jahre;3830;x;x;x;x;x;x;x;3830;1960;1860
12066;      Oberspreewald-Lausitz, Landkreis;5 bis unter 10 Jahre;4150;x;x;x;x;x;x;x;4150;2210;1950
12066;      Oberspreewald-Lausitz, Landkreis;10 bis unter 15 Jahre;3910;x;x;x;x;x;x;x;3910;2030;1880
12066;      Oberspreewald-Lausitz, Landkreis;15 bis unter 20 Jahre;3660;1350;1150;720;420;/;/;/;2300;1130;1170
12066;      Oberspreewald-Lausitz, Landkreis;20 bis unter 25 Jahre;6630;4880;4460;2470;1990;430;/;/;1750;850;900
12066;      Oberspreewald-Lausitz, Landkreis;25 bis unter 30 Jahre;6210;5400;4910;2890;2020;490;240;/;810;430;380
12066;      Oberspreewald-Lausitz, Landkreis;30 bis unter 35 Jahre;6030;5470;4980;2830;2150;500;/;/;560;370;190
12066;      Oberspreewald-Lausitz, Landkreis;35 bis unter 40 Jahre;5840;5490;5110;2730;2370;380;/;/;350;/;/
12066;      Oberspreewald-Lausitz, Landkreis;40 bis unter 45 Jahre;8190;7690;6990;3510;3490;700;420;280;500;/;240
12066;      Oberspreewald-Lausitz, Landkreis;45 bis unter 50 Jahre;10680;9700;8920;4630;4290;780;490;290;980;470;510
12066;      Oberspreewald-Lausitz, Landkreis;50 bis unter 55 Jahre;10110;8860;8050;3960;4090;810;430;380;1250;620;620
12066;      Oberspreewald-Lausitz, Landkreis;55 bis unter 60 Jahre;9840;7870;7040;3570;3460;830;450;380;1970;800;1170
12066;      Oberspreewald-Lausitz, Landkreis;60 bis unter 65 Jahre;7220;3290;2990;1680;1310;300;/;/;3930;1650;2280
12066;      Oberspreewald-Lausitz, Landkreis;65 bis unter 70 Jahre;7850;690;680;360;330;/;/;/;7160;3060;4100
12066;      Oberspreewald-Lausitz, Landkreis;70 bis unter 75 Jahre;10300;640;630;350;/;/;/;/;9660;4150;5520
12066;      Oberspreewald-Lausitz, Landkreis;75 bis unter 80 Jahre;6340;/;/;/;/;/;/;/;6040;2470;3570
12066;      Oberspreewald-Lausitz, Landkreis;80 bis unter 85 Jahre;4040;/;/;/;/;/;/;/;3970;1290;2680
12066;      Oberspreewald-Lausitz, Landkreis;85 bis unter 90 Jahre;1920;/;/;/;/;/;/;/;1820;370;1460
12066;      Oberspreewald-Lausitz, Landkreis;90 Jahre und mehr;560;/;/;/;/;/;/;/;540;/;420
12066;      Oberspreewald-Lausitz, Landkreis;Insgesamt;117300;61820;56390;29930;26460;5430;2960;2470;55480;24410;31070
12067;      Oder-Spree, Landkreis;unter 5 Jahre;6320;x;x;x;x;x;x;x;6320;3140;3180
12067;      Oder-Spree, Landkreis;5 bis unter 10 Jahre;5840;x;x;x;x;x;x;x;5840;2720;3120
12067;      Oder-Spree, Landkreis;10 bis unter 15 Jahre;6900;x;x;x;x;x;x;x;6900;3460;3440
12067;      Oder-Spree, Landkreis;15 bis unter 20 Jahre;6060;2010;1770;960;810;/;/;/;4050;1940;2110
12067;      Oder-Spree, Landkreis;20 bis unter 25 Jahre;9360;7720;7070;3970;3100;650;350;/;1640;730;910
12067;      Oder-Spree, Landkreis;25 bis unter 30 Jahre;9120;8170;7630;4220;3410;540;340;/;950;420;530
12067;      Oder-Spree, Landkreis;30 bis unter 35 Jahre;9360;8480;7930;4400;3530;550;/;/;880;/;550
12067;      Oder-Spree, Landkreis;35 bis unter 40 Jahre;8980;8510;8100;4250;3850;410;/;/;470;/;/
12067;      Oder-Spree, Landkreis;40 bis unter 45 Jahre;12750;11830;11200;5750;5440;630;/;/;920;350;570
12067;      Oder-Spree, Landkreis;45 bis unter 50 Jahre;17360;16080;15360;7920;7450;720;320;390;1280;570;710
12067;      Oder-Spree, Landkreis;50 bis unter 55 Jahre;16200;14230;13530;6860;6670;700;390;310;1970;890;1080
12067;      Oder-Spree, Landkreis;55 bis unter 60 Jahre;15500;12850;11880;6140;5740;970;580;390;2650;1190;1460
12067;      Oder-Spree, Landkreis;60 bis unter 65 Jahre;10250;5540;5240;2920;2320;/;/;/;4710;1710;3000
12067;      Oder-Spree, Landkreis;65 bis unter 70 Jahre;11300;1290;1270;690;580;/;/;/;10000;4640;5370
12067;      Oder-Spree, Landkreis;70 bis unter 75 Jahre;13970;950;940;630;/;/;/;/;13020;5820;7200
12067;      Oder-Spree, Landkreis;75 bis unter 80 Jahre;7800;/;/;/;/;/;/;/;7530;3580;3950
12067;      Oder-Spree, Landkreis;80 bis unter 85 Jahre;5850;/;/;/;/;/;/;/;5680;1880;3790
12067;      Oder-Spree, Landkreis;85 bis unter 90 Jahre;2720;/;/;/;/;/;/;/;2710;790;1920
12067;      Oder-Spree, Landkreis;90 Jahre und mehr;1160;/;/;/;/;/;/;/;1160;/;870
12067;      Oder-Spree, Landkreis;Insgesamt;176820;98130;92360;48910;43450;5770;3220;2550;78680;34620;44060
12068;      Ostprignitz-Ruppin, Landkreis;unter 5 Jahre;3460;x;x;x;x;x;x;x;3460;1790;1680
12068;      Ostprignitz-Ruppin, Landkreis;5 bis unter 10 Jahre;3900;x;x;x;x;x;x;x;3900;1900;2000
12068;      Ostprignitz-Ruppin, Landkreis;10 bis unter 15 Jahre;3900;x;x;x;x;x;x;x;3900;1880;2020
12068;      Ostprignitz-Ruppin, Landkreis;15 bis unter 20 Jahre;3040;1050;930;510;420;/;/;/;1990;990;1000
12068;      Ostprignitz-Ruppin, Landkreis;20 bis unter 25 Jahre;5590;4670;4290;2400;1890;380;/;/;920;/;480
12068;      Ostprignitz-Ruppin, Landkreis;25 bis unter 30 Jahre;5540;5120;4500;2430;2070;620;/;/;420;/;/
12068;      Ostprignitz-Ruppin, Landkreis;30 bis unter 35 Jahre;5350;4880;4500;2360;2150;/;/;/;470;/;/
12068;      Ostprignitz-Ruppin, Landkreis;35 bis unter 40 Jahre;4840;4490;4290;2270;2020;/;/;/;350;/;/
12068;      Ostprignitz-Ruppin, Landkreis;40 bis unter 45 Jahre;7190;6600;6230;3260;2970;/;/;/;590;/;/
12068;      Ostprignitz-Ruppin, Landkreis;45 bis unter 50 Jahre;9590;8680;7990;4040;3950;700;/;430;900;480;420
12068;      Ostprignitz-Ruppin, Landkreis;50 bis unter 55 Jahre;9380;8150;7600;3890;3710;550;/;/;1240;640;600
12068;      Ostprignitz-Ruppin, Landkreis;55 bis unter 60 Jahre;9070;7020;6380;3200;3180;640;/;/;2040;1040;1010
12068;      Ostprignitz-Ruppin, Landkreis;60 bis unter 65 Jahre;6010;3180;2950;1660;1290;/;/;/;2830;1230;1600
12068;      Ostprignitz-Ruppin, Landkreis;65 bis unter 70 Jahre;5400;410;410;/;/;/;/;/;4990;2390;2600
12068;      Ostprignitz-Ruppin, Landkreis;70 bis unter 75 Jahre;6970;/;/;/;/;/;/;/;6820;3260;3560
12068;      Ostprignitz-Ruppin, Landkreis;75 bis unter 80 Jahre;4730;/;/;/;/;/;/;/;4600;2020;2580
12068;      Ostprignitz-Ruppin, Landkreis;80 bis unter 85 Jahre;3470;/;/;/;/;/;/;/;3370;1190;2180
12068;      Ostprignitz-Ruppin, Landkreis;85 bis unter 90 Jahre;1210;/;/;/;/;/;/;/;1210;/;920
12068;      Ostprignitz-Ruppin, Landkreis;90 Jahre und mehr;460;/;/;/;/;/;/;/;450;/;410
12068;      Ostprignitz-Ruppin, Landkreis;Insgesamt;99120;54660;50460;26540;23920;4200;2340;1860;44460;20260;24200
12069;      Potsdam-Mittelmark, Landkreis;unter 5 Jahre;8490;x;x;x;x;x;x;x;8490;4240;4250
12069;      Potsdam-Mittelmark, Landkreis;5 bis unter 10 Jahre;9440;x;x;x;x;x;x;x;9440;4830;4610
12069;      Potsdam-Mittelmark, Landkreis;10 bis unter 15 Jahre;9330;x;x;x;x;x;x;x;9330;4580;4750
12069;      Potsdam-Mittelmark, Landkreis;15 bis unter 20 Jahre;7200;2150;1980;910;1060;/;/;/;5050;2580;2470
12069;      Potsdam-Mittelmark, Landkreis;20 bis unter 25 Jahre;9830;7930;7510;4100;3420;410;210;/;1900;920;980
12069;      Potsdam-Mittelmark, Landkreis;25 bis unter 30 Jahre;9500;8460;7890;4240;3650;570;410;/;1040;510;520
12069;      Potsdam-Mittelmark, Landkreis;30 bis unter 35 Jahre;10680;9980;9650;4910;4740;330;/;/;700;290;410
12069;      Potsdam-Mittelmark, Landkreis;35 bis unter 40 Jahre;11290;10670;10410;5340;5070;260;/;/;620;/;470
12069;      Potsdam-Mittelmark, Landkreis;40 bis unter 45 Jahre;16780;15930;15450;7800;7650;480;260;/;850;330;520
12069;      Potsdam-Mittelmark, Landkreis;45 bis unter 50 Jahre;21410;19950;19480;10120;9350;470;270;200;1460;580;880
12069;      Potsdam-Mittelmark, Landkreis;50 bis unter 55 Jahre;18710;16900;16350;8570;7780;550;340;/;1810;860;940
12069;      Potsdam-Mittelmark, Landkreis;55 bis unter 60 Jahre;16350;14110;13360;6960;6400;760;430;320;2240;1060;1180
12069;      Potsdam-Mittelmark, Landkreis;60 bis unter 65 Jahre;11180;6360;6050;3340;2710;300;/;/;4830;1810;3020
12069;      Potsdam-Mittelmark, Landkreis;65 bis unter 70 Jahre;11310;1880;1850;1120;730;/;/;/;9430;4370;5060
12069;      Potsdam-Mittelmark, Landkreis;70 bis unter 75 Jahre;13010;1000;980;630;350;/;/;/;12000;5430;6570
12069;      Potsdam-Mittelmark, Landkreis;75 bis unter 80 Jahre;8350;340;340;/;/;/;/;/;8010;3430;4580
12069;      Potsdam-Mittelmark, Landkreis;80 bis unter 85 Jahre;5340;/;/;/;/;/;/;/;5090;2030;3060
12069;      Potsdam-Mittelmark, Landkreis;85 bis unter 90 Jahre;2540;/;/;/;/;/;/;/;2470;620;1860
12069;      Potsdam-Mittelmark, Landkreis;90 Jahre und mehr;950;/;/;/;/;/;/;/;930;/;760
12069;      Potsdam-Mittelmark, Landkreis;Insgesamt;201690;115990;111630;58350;53280;4360;2430;1920;85710;38790;46920
12070;      Prignitz, Landkreis;unter 5 Jahre;2410;x;x;x;x;x;x;x;2410;1200;1210
12070;      Prignitz, Landkreis;5 bis unter 10 Jahre;2690;x;x;x;x;x;x;x;2690;1290;1400
12070;      Prignitz, Landkreis;10 bis unter 15 Jahre;2850;x;x;x;x;x;x;x;2850;1550;1290
12070;      Prignitz, Landkreis;15 bis unter 20 Jahre;2790;950;870;490;380;/;/;/;1840;730;1110
12070;      Prignitz, Landkreis;20 bis unter 25 Jahre;4380;3840;3460;2010;1450;380;230;/;540;290;240
12070;      Prignitz, Landkreis;25 bis unter 30 Jahre;3980;3550;3090;1830;1260;470;270;/;430;200;220
12070;      Prignitz, Landkreis;30 bis unter 35 Jahre;3600;3320;3030;1740;1290;290;/;/;280;/;/
12070;      Prignitz, Landkreis;35 bis unter 40 Jahre;3680;3420;3150;1680;1470;280;/;/;260;/;/
12070;      Prignitz, Landkreis;40 bis unter 45 Jahre;5480;4880;4510;2280;2240;370;/;/;600;/;370
12070;      Prignitz, Landkreis;45 bis unter 50 Jahre;7780;7080;6500;3360;3140;580;350;230;700;270;440
12070;      Prignitz, Landkreis;50 bis unter 55 Jahre;7580;6610;6020;2980;3040;580;250;330;970;480;490
12070;      Prignitz, Landkreis;55 bis unter 60 Jahre;7010;5830;5210;2700;2510;630;310;320;1180;630;550
12070;      Prignitz, Landkreis;60 bis unter 65 Jahre;5120;2430;2330;1390;940;/;/;/;2700;1070;1630
12070;      Prignitz, Landkreis;65 bis unter 70 Jahre;4700;470;420;250;170;/;/;/;4240;1940;2300
12070;      Prignitz, Landkreis;70 bis unter 75 Jahre;6770;300;300;210;/;/;/;/;6470;2910;3560
12070;      Prignitz, Landkreis;75 bis unter 80 Jahre;4450;/;/;/;/;/;/;/;4190;1700;2490
12070;      Prignitz, Landkreis;80 bis unter 85 Jahre;2630;/;/;/;/;/;/;/;2550;850;1700
12070;      Prignitz, Landkreis;85 bis unter 90 Jahre;1490;/;/;/;/;/;/;/;1440;340;1100
12070;      Prignitz, Landkreis;90 Jahre und mehr;500;/;/;/;/;/;/;/;490;/;360
12070;      Prignitz, Landkreis;Insgesamt;79880;43080;39290;21180;18110;3790;2030;1770;36800;16020;20790
12071;      Spree-Neiße, Landkreis;unter 5 Jahre;4120;x;x;x;x;x;x;x;4120;2210;1920
12071;      Spree-Neiße, Landkreis;5 bis unter 10 Jahre;4000;x;x;x;x;x;x;x;4000;2130;1870
12071;      Spree-Neiße, Landkreis;10 bis unter 15 Jahre;4470;x;x;x;x;x;x;x;4470;2200;2270
12071;      Spree-Neiße, Landkreis;15 bis unter 20 Jahre;3730;1190;1090;590;500;/;/;/;2540;1200;1330
12071;      Spree-Neiße, Landkreis;20 bis unter 25 Jahre;6580;5260;4710;2760;1950;550;370;/;1320;670;650
12071;      Spree-Neiße, Landkreis;25 bis unter 30 Jahre;5830;5390;4940;2790;2150;450;/;/;440;/;/
12071;      Spree-Neiße, Landkreis;30 bis unter 35 Jahre;6050;5620;5140;2770;2380;470;/;/;440;/;/
12071;      Spree-Neiße, Landkreis;35 bis unter 40 Jahre;5800;5410;4970;2560;2420;440;/;/;/;/;/
12071;      Spree-Neiße, Landkreis;40 bis unter 45 Jahre;8810;8390;7990;4150;3840;400;/;/;420;/;/
12071;      Spree-Neiße, Landkreis;45 bis unter 50 Jahre;12270;11310;10460;5380;5070;850;400;450;960;400;570
12071;      Spree-Neiße, Landkreis;50 bis unter 55 Jahre;11630;10490;9600;4940;4650;900;380;510;1140;620;520
12071;      Spree-Neiße, Landkreis;55 bis unter 60 Jahre;11370;9360;8370;4190;4190;990;550;430;2010;1090;920
12071;      Spree-Neiße, Landkreis;60 bis unter 65 Jahre;7190;3380;3240;1770;1470;/;/;/;3810;1560;2250
12071;      Spree-Neiße, Landkreis;65 bis unter 70 Jahre;7850;810;770;360;410;/;/;/;7040;3190;3850
12071;      Spree-Neiße, Landkreis;70 bis unter 75 Jahre;9240;490;490;/;/;/;/;/;8750;4070;4680
12071;      Spree-Neiße, Landkreis;75 bis unter 80 Jahre;5630;/;/;/;/;/;/;/;5360;2290;3080
12071;      Spree-Neiße, Landkreis;80 bis unter 85 Jahre;4210;/;/;/;/;/;/;/;4120;1350;2770
12071;      Spree-Neiße, Landkreis;85 bis unter 90 Jahre;1970;/;/;/;/;/;/;/;1960;430;1530
12071;      Spree-Neiße, Landkreis;90 Jahre und mehr;930;/;/;/;/;/;/;/;930;/;790
12071;      Spree-Neiße, Landkreis;Insgesamt;121700;67470;62150;32730;29410;5320;2930;2390;54240;24210;30030
12072;      Teltow-Fläming, Landkreis;unter 5 Jahre;6730;x;x;x;x;x;x;x;6730;3560;3170
12072;      Teltow-Fläming, Landkreis;5 bis unter 10 Jahre;6480;x;x;x;x;x;x;x;6480;3530;2960
12072;      Teltow-Fläming, Landkreis;10 bis unter 15 Jahre;6790;x;x;x;x;x;x;x;6790;3420;3370
12072;      Teltow-Fläming, Landkreis;15 bis unter 20 Jahre;5330;1870;1690;950;730;/;/;/;3460;1690;1770
12072;      Teltow-Fläming, Landkreis;20 bis unter 25 Jahre;9090;7430;6990;3790;3200;440;200;240;1670;690;980
12072;      Teltow-Fläming, Landkreis;25 bis unter 30 Jahre;8650;7710;7240;3940;3300;480;350;/;940;410;540
12072;      Teltow-Fläming, Landkreis;30 bis unter 35 Jahre;8760;8170;7870;4070;3810;290;/;180;600;200;400
12072;      Teltow-Fläming, Landkreis;35 bis unter 40 Jahre;8790;8100;7830;4000;3840;270;/;/;690;/;430
12072;      Teltow-Fläming, Landkreis;40 bis unter 45 Jahre;13090;12310;11890;6030;5860;420;260;/;790;370;420
12072;      Teltow-Fläming, Landkreis;45 bis unter 50 Jahre;16020;14790;14250;7440;6810;530;300;230;1240;560;680
12072;      Teltow-Fläming, Landkreis;50 bis unter 55 Jahre;14040;12690;12170;6360;5810;510;290;/;1360;560;800
12072;      Teltow-Fläming, Landkreis;55 bis unter 60 Jahre;11940;9870;9110;4610;4500;760;370;390;2070;880;1190
12072;      Teltow-Fläming, Landkreis;60 bis unter 65 Jahre;8780;4260;3980;2350;1640;280;/;/;4520;1930;2590
12072;      Teltow-Fläming, Landkreis;65 bis unter 70 Jahre;9080;1160;1080;700;380;/;/;/;7920;3710;4210
12072;      Teltow-Fläming, Landkreis;70 bis unter 75 Jahre;11000;770;760;480;280;/;/;/;10240;4460;5780
12072;      Teltow-Fläming, Landkreis;75 bis unter 80 Jahre;6750;/;/;/;/;/;/;/;6500;2680;3820
12072;      Teltow-Fläming, Landkreis;80 bis unter 85 Jahre;4040;/;/;/;/;/;/;/;3910;1420;2490
12072;      Teltow-Fläming, Landkreis;85 bis unter 90 Jahre;2100;/;/;/;/;/;/;/;2000;480;1520
12072;      Teltow-Fläming, Landkreis;90 Jahre und mehr;770;/;/;/;/;/;/;/;760;/;670
12072;      Teltow-Fläming, Landkreis;Insgesamt;158250;89590;85360;44970;40390;4230;2320;1910;68660;30890;37770
12073;      Uckermark, Landkreis;unter 5 Jahre;4320;x;x;x;x;x;x;x;4320;2230;2090
12073;      Uckermark, Landkreis;5 bis unter 10 Jahre;4760;x;x;x;x;x;x;x;4760;2320;2440
12073;      Uckermark, Landkreis;10 bis unter 15 Jahre;4620;x;x;x;x;x;x;x;4620;2180;2440
12073;      Uckermark, Landkreis;15 bis unter 20 Jahre;3870;1280;1080;570;510;/;/;/;2590;1290;1310
12073;      Uckermark, Landkreis;20 bis unter 25 Jahre;6750;5510;4790;2790;2010;720;460;/;1240;590;640
12073;      Uckermark, Landkreis;25 bis unter 30 Jahre;6040;5320;4690;2630;2060;630;280;350;720;340;380
12073;      Uckermark, Landkreis;30 bis unter 35 Jahre;6070;5490;4960;2630;2330;530;330;200;580;/;/
12073;      Uckermark, Landkreis;35 bis unter 40 Jahre;5880;5530;5030;2770;2260;500;/;/;350;/;/
12073;      Uckermark, Landkreis;40 bis unter 45 Jahre;8510;7810;7160;3650;3510;650;390;/;700;/;310
12073;      Uckermark, Landkreis;45 bis unter 50 Jahre;12050;10860;9850;4910;4940;1010;320;690;1190;510;690
12073;      Uckermark, Landkreis;50 bis unter 55 Jahre;11810;10310;9220;4740;4490;1090;480;610;1500;720;780
12073;      Uckermark, Landkreis;55 bis unter 60 Jahre;11140;9050;7900;4040;3860;1150;700;440;2100;1180;920
12073;      Uckermark, Landkreis;60 bis unter 65 Jahre;8170;3780;3420;2000;1420;360;/;/;4390;1930;2460
12073;      Uckermark, Landkreis;65 bis unter 70 Jahre;7380;740;720;470;260;/;/;/;6630;3090;3550
12073;      Uckermark, Landkreis;70 bis unter 75 Jahre;9690;440;440;250;/;/;/;/;9250;4030;5220
12073;      Uckermark, Landkreis;75 bis unter 80 Jahre;6200;/;/;/;/;/;/;/;5990;2500;3490
12073;      Uckermark, Landkreis;80 bis unter 85 Jahre;4200;/;/;/;/;/;/;/;4170;1600;2570
12073;      Uckermark, Landkreis;85 bis unter 90 Jahre;1790;/;/;/;/;/;/;/;1740;360;1380
12073;      Uckermark, Landkreis;90 Jahre und mehr;500;/;/;/;/;/;/;/;490;/;400
12073;      Uckermark, Landkreis;Insgesamt;123750;66420;59570;31540;28030;6850;3530;3320;57330;25750;31580
__________
"zu ""gesamter Tabelle"":
Einige der hier verfügbaren Ergebnisse können aufgrund
unterschiedlicher Geheimhaltungsverfahren von den
Ergebnissen unter 
https://ergebnisse2011.zensus2022.de
leicht abweichen. Hier finden Sie weiterführende
Informationen zu den angewandten Geheinhaltungsverfahren 
https://www.zensus2022.de/DE/Wie-funktioniert-der-Zensus/geheimhaltung-beim-zensus.html?nn=352854"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2023.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 28.06.2023 / 22:18:59
